Num ppbs	979
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
7193000	506.93	71	9	3	0.000619614	0.000619614	11.1814
7196000	506.96	51	109	78	0.00156388	0.00159983	12.2318
7207200	507.072	15	132	121	0.00403084	0.00403084	12.251
7228200	507.282	57	19	2	0.000456747	0.000456747	10.7021
7229000	507.29	54	109	35	0.00146562	0.00146562	12.2885
7236600	507.366	103	71	118	0.00308014	0.00308014	12.3015
7239000	507.39	73	136	21	0.000446258	0.000446258	10.5605
7240000	507.4	47	123	130	0.00195204	0.001982	12.3073
7248400	507.484	83	6	45	0.00106889	0.00106889	12.1614
7255600	507.556	74	104	140	0.000356563	0.000356563	11.3256
7272800	507.728	16	28	122	0.00272304	0.00272304	12.3637
7290400	507.904	32	87	85	0.00185375	0.00190768	12.3939
7294200	507.942	75	30	88	0.000421706	0.000421706	10.6688
7311600	508.116	81	39	126	0.00120138	0.00120138	11.7546
7316400	508.164	34	64	30	0.00189901	0.00189901	12.4385
7348800	508.488	84	26	103	0.00103305	0.00103305	12.3517
7352600	508.526	8	100	18	0.00164755	0.00164755	12.5007
7352800	508.528	99	113	48	0.00179368	0.00182963	12.501
7356600	508.566	67	103	130	0.000545667	0.000545667	11.1779
7363200	508.632	57	84	131	0.000883397	0.000883397	11.6474
7377200	508.772	24	9	46	0.00307717	0.00307717	12.5429
7395400	508.954	40	133	97	0.00320635	0.00342206	12.5742
7408200	509.082	37	82	135	0.0022323	0.0022323	12.5962
7415400	509.154	11	19	96	0.00119477	0.00120076	12.6086
7448400	509.484	3	100	33	0.00213536	0.00213536	12.6652
7458800	509.588	35	15	100	0.00283311	0.00283311	12.6831
7477000	509.77	62	124	46	0.000328927	0.000358887	10.239
7478000	509.78	60	65	45	0.000490995	0.000490995	10.9955
7485000	509.85	42	53	84	0.00182914	0.00197295	12.7281
7496600	509.966	42	130	75	0.00298422	0.00298422	12.7481
7524600	510.246	64	97	95	0.000526057	0.000526057	10.8598
7545200	510.452	57	30	115	0.000706059	0.000706059	12.3519
7559600	510.596	84	12	116	0.00211494	0.00211494	12.685
7570200	510.702	41	40	119	0.00018746	0.00024738	12.8745
7573600	510.736	92	1	7	0.000615226	0.000645186	12.8804
7576400	510.764	85	40	104	0.000541039	0.000541039	12.8852
7583000	510.83	58	72	70	0.00140406	0.00140406	12.6204
7584800	510.848	119	83	40	0.00397616	0.00397616	12.8996
7593800	510.938	8	43	126	0.00244832	0.00244832	12.9151
7606000	511.06	131	94	38	0.00507055	0.00507055	12.936
7606600	511.066	65	79	43	0.000709479	0.000709479	11.8469
