Crystallize 1.4 log for model PM3_151028_2242
Run began at: Wed Oct 28 22:51:44 2015

**** WARNING ****: max courant = 1.29375.  Instability possible.

Random seed used = -1446090704

Uncompensated deficit of 6.88325e-09 g at index (101,57,125) at time 22.730 m.y.
Uncompensated deficit of 6.08859e-09 g at index (54,117,43) at time 22.734 m.y.
Uncompensated deficit of 3.5324e-09 g at index (52,113,45) at time 22.734 m.y.
Uncompensated deficit of 2.02444e-09 g at index (103,21,67) at time 22.734 m.y.
Uncompensated deficit of 3.36146e-09 g at index (32,50,104) at time 22.734 m.y.
Uncompensated deficit of 5.28357e-09 g at index (15,131,4) at time 22.742 m.y.
Uncompensated deficit of 1.02703e-08 g at index (31,49,104) at time 22.746 m.y.
Uncompensated deficit of 4.24477e-09 g at index (99,56,125) at time 22.748 m.y.
Time = 22750000.000000, delC = 2.83396e-07, NuclRate = 1.27318e-13
Uncompensated deficit of 6.82801e-09 g at index (56,117,46) at time 22.750 m.y.
Uncompensated deficit of 5.62555e-09 g at index (56,116,47) at time 22.760 m.y.
Uncompensated deficit of 8.6053e-11 g at index (31,50,102) at time 22.760 m.y.
Uncompensated deficit of 6.66718e-10 g at index (98,56,124) at time 22.762 m.y.
Uncompensated deficit of 1.02098e-08 g at index (103,19,66) at time 22.768 m.y.
Uncompensated deficit of 2.40385e-09 g at index (100,56,126) at time 22.768 m.y.
Uncompensated deficit of 7.46745e-09 g at index (101,59,122) at time 22.772 m.y.
Uncompensated deficit of 8.6698e-09 g at index (31,54,95) at time 22.774 m.y.
Uncompensated deficit of 2.71397e-08 g at index (30,50,101) at time 22.784 m.y.
Uncompensated deficit of 8.50253e-09 g at index (102,59,123) at time 22.786 m.y.
Uncompensated deficit of 5.96773e-09 g at index (102,22,67) at time 22.788 m.y.
Uncompensated deficit of 1.14619e-08 g at index (31,55,94) at time 22.792 m.y.
Uncompensated deficit of 2.26689e-09 g at index (100,59,121) at time 22.796 m.y.
