time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
76000	15200000	535.000000	1.76004e-06	0.000741418	0.0267962	0.000187121	0.223997	7.45202	955	2.26995
76500	15300000	535.000000	1.7606e-06	0.00066795	0.0268709	0.00018478	0.201801	7.47281	958	2.12211
77000	15400000	535.000000	1.76116e-06	0.000600186	0.0269398	0.000182607	0.181328	7.49195	959	1.98347
77500	15500000	535.000000	1.76173e-06	0.000537979	0.0270031	0.000180473	0.162534	7.50956	961	1.84819
78000	15600000	535.000000	1.76229e-06	0.000481515	0.0270607	0.000178267	0.145475	7.52558	963	1.70578
78500	15700000	535.000000	1.76285e-06	0.000430618	0.0271128	0.000175924	0.130098	7.54006	967	1.55082
79000	15800000	535.000000	1.76342e-06	0.000386626	0.0271584	0.000173207	0.116807	7.55275	968	1.36318
79500	15900000	535.000000	1.76398e-06	0.000350251	0.0271969	0.000170474	0.105818	7.56345	968	1.16253
80000	16000000	535.000000	1.76454e-06	0.000319629	0.0272291	0.000168419	0.0965663	7.5724	969	1.0102
80500	16100000	535.000000	1.76511e-06	0.00029281	0.0272569	0.000167008	0.0884638	7.58014	970	0.906458
81000	16200000	535.000000	1.76567e-06	0.00026788	0.0272822	0.000165918	0.0809319	7.58718	971	0.8301
81500	16300000	535.000000	1.76623e-06	0.000245194	0.0273053	0.000164887	0.074078	7.5936	973	0.757328
82000	16400000	535.000000	1.7668e-06	0.000224096	0.0273265	0.00016402	0.067704	7.59951	974	0.696534
82500	16500000	535.000000	1.76736e-06	0.000204896	0.027346	0.000163267	0.0619032	7.60492	974	0.645293
83000	16600000	535.000000	1.76793e-06	0.0001874	0.027364	0.000162587	0.0566173	7.60993	974	0.598831
83500	16700000	535.000000	1.76849e-06	0.000171439	0.0273805	0.000161988	0.0517953	7.61451	974	0.55732
84000	16800000	535.000000	1.76906e-06	0.000156469	0.0273958	0.000161527	0.0472725	7.61878	974	0.527469
84500	16900000	535.000000	1.76962e-06	0.000142366	0.0274103	0.000161075	0.0430117	7.6228	975	0.498381
85000	17000000	535.000000	1.77019e-06	0.000129233	0.0274237	0.000160624	0.039044	7.62653	975	0.468913
85500	17100000	535.000000	1.77075e-06	0.000117136	0.0274361	0.000160177	0.035389	7.62998	975	0.43936
86000	17200000	535.000000	1.77132e-06	0.000106041	0.0274475	0.000159722	0.0320373	7.63316	975	0.408287
86500	17300000	535.000000	1.77188e-06	9.60111e-05	0.0274579	0.000159268	0.0290069	7.63604	975	0.376177
87000	17400000	535.000000	1.77245e-06	8.69911e-05	0.0274672	0.000158844	0.0262818	7.63864	975	0.345494
87500	17500000	535.000000	1.77302e-06	7.86698e-05	0.0274758	0.000158543	0.0237677	7.64101	975	0.325496
88000	17600000	535.000000	1.77358e-06	7.09283e-05	0.0274837	0.000158273	0.0214289	7.64322	975	0.307997
88500	17700000	535.000000	1.77415e-06	6.37191e-05	0.0274911	0.00015801	0.0192508	7.64527	975	0.291045
89000	17800000	535.000000	1.77472e-06	5.70408e-05	0.027498	0.000157743	0.0172332	7.64719	975	0.273468
89500	17900000	535.000000	1.77528e-06	5.09253e-05	0.0275044	0.000157477	0.0153856	7.64896	975	0.256374
90000	18000000	535.000000	1.77585e-06	4.52823e-05	0.0275102	0.00015724	0.0136807	7.65059	975	0.240765
90500	18100000	535.000000	1.77642e-06	3.99462e-05	0.0275157	0.000157001	0.0120686	7.65211	976	0.22489
91000	18200000	535.000000	1.77698e-06	3.46116e-05	0.0275209	0.00015676	0.0104569	7.65357	976	0.208525
91500	18300000	535.000000	1.77755e-06	2.99081e-05	0.0275257	0.000156511	0.00903584	7.65489	976	0.191359
92000	18400000	535.000000	1.77812e-06	2.58663e-05	0.02753	0.000156261	0.00781473	7.65608	976	0.173379
92500	18500000	535.000000	1.77869e-06	2.22217e-05	0.0275338	0.000156046	0.00671362	7.65715	976	0.158342
93000	18600000	535.000000	1.77926e-06	1.84685e-05	0.0275375	0.00015578	0.0055797	7.65819	977	0.139096
93500	18700000	535.000000	1.77982e-06	1.4986e-05	0.0275409	0.000155582	0.00452758	7.65913	978	0.125051
94000	18800000	535.000000	1.78039e-06	1.18554e-05	0.0275441	0.000155399	0.00358174	7.66001	979	0.111869
94500	18900000	535.000000	1.78096e-06	8.63745e-06	0.0275471	0.000155238	0.00260955	7.66084	979	0.101125
95000	19000000	535.000000	1.78153e-06	6.05797e-06	0.0275497	0.000155041	0.00183023	7.66157	979	0.0875332
95500	19100000	535.000000	1.7821e-06	3.90774e-06	0.027552	0.000154845	0.00118061	7.66222	979	0.0736444
96000	19200000	535.000000	1.78267e-06	2.16436e-06	0.0275539	0.000154651	0.000653897	7.66275	979	0.0594343
96500	19300000	535.000000	1.78324e-06	9.59869e-07	0.0275554	0.000154402	0.000289996	7.66316	979	0.0400143
97000	19400000	535.000000	1.78381e-06	2.96951e-07	0.0275563	0.000154187	8.97148e-05	7.6634	979	0.0224194
97500	19500000	535.000000	1.78438e-06	2.08711e-08	0.0275567	0.000154024	6.30558e-06	7.66352	979	0.00856156
98000	19600000	535.000000	1.78495e-06	0	0.0275568	0.000153937	0	7.66355	979	0.000644175
98001	19600200	535.000000	1.78495e-06	0	0.0275568	0.000153937	0	7.66355	979	0.000640386
